B★ eCO₂ 소형 실용화 — 응용처 우선순위 매트릭스 (Ch.1),,,,,,,,,,,,,
버전: v2.0,조사기준일: 2026-03-15,작성: B★ 프로젝트 팀,,,,,,,,,,,
,,,,,,,,,,,,,
평가기준 정의 및 가중치,,,,,,,,,,,,,
기준1_매출조기성 (25%),매출 실현 속도 및 계약 파이프라인 선명도 (1-10),,,,,,,,,,,,
기준2_기술적합도 (20%),eCO₂ 기술의 해당 응용처 적합성 및 TRL 수준 (1-10),,,,,,,,,,,,
기준3_B★기술정합 (20%),B★ eCO₂ 소형 모듈 아키텍처와의 직결 정도 (1-10),,,,,,,,,,,,
기준4_정책지원도 (20%),한국 정부 정책·인허가·보조금 지원 강도 (1-10),,,,,,,,,,,,
기준5_CAGR정규화 (15%),해당 시장 CAGR 대비 정규화 점수 (1-10),,,,,,,,,,,,
,,,,,,,,,,,,,
응용처 우선순위 스코어링 매트릭스,,,,,,,,,,,,,
순위,응용처,매출조기성 (25%),기술적합도 (20%),B★기술정합 (20%),정책지원도 (20%),CAGR정규화 (15%),가중합계,KR시장규모 ($M),CAGR (%),종합점수,B★ 핵심근거,주요 레퍼런스,업데이트일
★1,데이터센터 냉각·폐열재생,9.5,9.8,9.8,9.2,9.3,9.53,19900,20.4%,9.35,"eCO₂ 냉매 순환이 DC 액냉 + ORC 발전 동시 구현; GPU 랙 120-140 kW 밀도 급증으로 액냉 의무화; 한국 DC 시장 CAGR 20.4% (2026-2031); 150개 신규 DC 전력 신청 9.36 GW (KEPCO, 2025); 삼성SDS·SK텔레콤·OpenAI 한국 DC 투자 가속","dc_cooling.json §4_market_size_and_growth; §5_korea_specific; Mordor Intelligence 2025",2026-03-15
★2,원전·SMR·열병합 연계,8.2,8.5,8.8,9.0,8.7,8.60,4500,18.0%,8.42,"eCO₂ Brayton 사이클이 SMR 고온 열원(300-400°C)과 최적 매칭; i-SMR 170 MWe SDA 신청(2026.03), SMR法 통과(2026.02); KHNP 체코 APR-1400 수출 $19B (2025.06); eCO₂ 열병합으로 전력+열 동시 공급 가능","nuclear_smr.json §section_2_korea_nuclear_program; §section_6_cogeneration_economics",2026-03-15
3,LNG 발전소 폐열발전,7.5,7.2,7.0,7.8,6.2,7.19,3800,8.5%,7.18,"CCGT 배기가스 500-600°C → eCO₂ 보텀 사이클 효율 증대; SK E&S LNG 6 mtpa→10 mtpa (2030) 확장; KEPCO 산업용 전기요금 인하(2026.04)로 경제성 개선; 한국 LNG 터미널 7곳·저장탱크 90기","kepco_korea.json §section_2_korea_lng_sector; §section_5_industrial_cogeneration",2026-03-15
4,산업 히트펌프 (제철·석화),6.8,7.0,6.5,7.5,5.8,6.90,8000,7.9%,6.73,"eCO₂ HTHP가 100-150°C 산업열 공급 최적; 한국 정부 히트펌프 350만대 2035 목표; KIER·KIMM 고온 히트펌프 R&D 지원; 산업용 전기요금 체계 개편(2026.04); 제철·석화 탈탄소 압박","heat_pumps.json §5_korea_specific; §6_economics; kepco_korea.json §section_8",2026-03-15
5,화력발전소 폐열회수,6.0,6.5,6.2,6.8,5.2,6.22,3000,6.5%,6.18,"노후 석탄발전 폐열(150-400°C) eCO₂ 회수; 11차 에너지기본계획 석탄 14%→2038 축소로 전환 기회; CHP 시장 CAGR 5.8% (2026-2033) $1.9B→$2.8B; K-ETS 탄소비용 절감 이익","kepco_korea.json §section_5_industrial_cogeneration; §section_8_investment_opportunities",2026-03-15
6,제철소 고로 폐열,5.5,6.0,5.8,6.2,4.8,5.69,2200,6.0%,5.29,"BF 슬래그 1400-1500°C 미회수 잠재량 1.3-1.8 GJ/t; POSCO·현대제철 자체 BFG/COG CCGT (290-400 MW) 운영 중; eCO₂ ORC로 잔여 저급열 회수 가능; HyREX 수소환원제철 전환 수요 발생","kepco_korea.json §section_4_posco_steel_sector; §section_6_waste_heat_monetization",2026-03-15
,,,,,,,,,,,,,
가중합계 산출식 참조,,,,,,,,,,,,,
가중합계 = (매출조기성×0.25)+(기술적합도×0.20)+(B★기술정합×0.20)+(정책지원도×0.20)+(CAGR정규화×0.15),,,,,,,,,,,,,
종합점수 = 연구팀 최종 심사 점수 (가중합계 기반 조정),,,,,,,,,,,,,
CAGR정규화 산출기준: CAGR 20%=10점 / 15%=8점 / 10%=6점 / 7%=5점 / 5%=4점 기준 선형보간,,,,,,,,,,,,,
,,,,,,,,,,,,,
B★ 전략 포지셔닝 메모,,,,,,,,,,,,,
1순위 (DC냉각),★★★ 즉시 실행,"2026H2 파일럿 계약 목표, Hub-S1 모듈 ($18M CAPEX) 적용",,,,,,,,,,,,
2순위 (SMR연계),★★★ 중기 핵심,"i-SMR SDA 승인(2028) 전후 공동개발 MOU 추진",,,,,,,,,,,,
3순위 (LNG폐열),★★ 중기 파이프라인,"LNG CCGT 신설 프로젝트 eCO₂ 보텀사이클 옵션 탑재",,,,,,,,,,,,
4순위 (히트펌프),★★ 정책 연계,"정부 R&D 과제 진입, KETEP 연계 실증 프로그램",,,,,,,,,,,,
5순위 (화력폐열),★ 전환 관찰,"노후 석탄 발전소 eCO₂ 전환 패키지 (2028-2035)",,,,,,,,,,,,
6순위 (제철폐열),★ 장기 R&D,"POSCO·현대제철 탄소중립 로드맵 연계 (2030+ 목표)",,,,,,,,,,,,
