B★ eCO₂ 소형 실용화 — Ch.1 시장규모 데이터 (글로벌 vs 한국),,,,,,,,,
버전: v2.0,조사기준일: 2026-03-15,단위: USD 백만,,,,,,,
,,,,,,,,,
[섹션 A] 응용처별 시장규모 — 한국 (KR) 기준,,,,,,,,,
응용처,시장분류,2024 실적 ($M),2026E ($M),2030F ($M),2035F ($M),CAGR (%),출처,비고
데이터센터 냉각·폐열재생,한국 DC 냉각 시장,176.67,250,454,919,17.04%,Mordor Intelligence 2025; dc_cooling.json §5_korea_specific,냉각 시장 단독 기준
데이터센터 냉각·폐열재생,한국 DC 전체 시장,—,1990,4750,10200,20.38%,Mordor Intelligence; 2026-2031 CAGR,DC 전체 시장 (데이터·서버 포함)
데이터센터 냉각·폐열재생,한국 하이퍼스케일 DC,965.72,1200,2050,2600,9.42%,MarketResearchFuture 2025; dc_cooling.json §5,2024-2035 예측
원전·SMR·열병합 연계,한국 CHP 시장,1900,2100,2450,3000,5.80%,KEPCO 한국 CHP 시장; kepco_korea.json §5,CHP 전체 (발전+열)
원전·SMR·열병합 연계,i-SMR 프로그램 가치,—,—,—,4500+,—,KHNP 사업화 로드맵; 2035 목표
원전·SMR·열병합 연계,한국 핵전력 용량 (GW),24.7,25.5,28.9,35.2,—,11차 에너지기본계획 2025; nuclear_smr.json §section_2,GW 기준 (시장 아님)
LNG 발전소 폐열발전,한국 LNG 발전 용량,—,—,—,—,—,kepco_korea.json §section_2,시장규모 별도 측정 필요
LNG 발전소 폐열발전,한국 ORC 시장,300,350,480,600,9.40%,LinkedIn Pulse; kepco_korea.json §section_6,ORC 기반 폐열발전
LNG 발전소 폐열발전,SK E&S LNG 거래규모,—,—,10000+,—,—,SK E&S: LNG 6 mtpa→10 mtpa (2030)
산업 히트펌프 (제철·석화),한국 열펌프 전체 시장,2890,3430,5200,8000,7.88~9.30%,MarkNtel Advisors; heat_pumps.json §5_korea_specific,주거+상업+산업 합산
산업 히트펌프 (제철·석화),한국 산업 히트펌프 분야,260,310,520,850,7.9%,한국에너지기술평가원(KETEP); 추정치,산업공정열 전용
화력발전소 폐열회수,한국 CHP+폐열 시장,1900,2050,2400,2800,5.80%,kepco_korea.json §section_5,CHP 포함 기준
제철소 고로 폐열,한국 철강 ORC/WHR 잠재,—,100,250,500,—,POSCO 자체 에너지 데이터; 추정치,미개발 잠재 규모
,,,,,,,,,
[섹션 B] 응용처별 시장규모 — 글로벌 기준,,,,,,,,,
응용처,시장분류,2024 실적 ($B),2026E ($B),2030F ($B),2035F ($B),CAGR (%),출처,비고
데이터센터 냉각·폐열재생,DC 냉각 전체 시장,16.32,20.5,40.72,75+,16.46%,GlobeNewswire 2025; dc_cooling.json §4,글로벌 전체
