"Parameter","eCO₂ (B★ Transcritical)","sCO₂ (Supercritical)","ORC (Organic Rankine)","Steam Rankine Cycle"
"Working Fluid","CO₂ (R744)","CO₂ (R744)","Organic Refrigerant (R245fa etc.)","Water/Steam"
"Operating Pressure (bar)","28~95",">74 (supercritical)","1~35","1~300"
"Optimal Heat Source Temp (°C)","80~200 (low-medium grade)","400~700 (high grade)","80~300 (medium grade)",">300 (high grade)"
"Cooling COP","≥7.5 (B★ Target) / 3.05~3.92 (general)","N/A (power generation only)","N/A (power generation only)","N/A (power generation only)"
"Power Generation Efficiency (%)","41.4 (WHR combined)","45~50 (high-temp cycle)","10~20","25~45"
"System Scale","Small modular (container-scale)","Large (utility-scale)","Medium","Large"
"CAPEX Index (relative)","1.0 (baseline)","2.5~4.0","1.5~2.5","3.0~5.0"
"Korea Commercialization Stage","P1 2027 target (B★)","Early pilot (KEPCO 2027)","Partial commercial","Full commercial"
"DC Cooling Applicability","Optimal (purpose-built)","Not applicable","Limited","Not applicable"
"Free-Cooling Energy Savings","Up to 70%","N/A","N/A","N/A"
"GWP (Global Warming Potential)","1 (lowest)","1 (lowest)","950~1,030","N/A"
"Safety Classification","A1 (non-flammable, non-toxic)","A1","B1 (mildly flammable)","N/A"
"Key Korea R&D Bodies","B★ (proprietary)","KEPCO·KIER·Hanwha Power","KIER·GS E&C","Traditional utilities"
"Source/Reliability","ScienceDirect 2025 / DOE-NETL / B★ proprietary","KEPCO 6th sCO₂ Conf 2025","IRENA 2024","IEA 2024"
