"Category","Company","Country","Role","B★ Utilization","Unit Price (USD)","Lead Time (wks)","Certification","Remarks"
"Global #1","Alfa Laval","Sweden/Korea","Gas Cooler & IHX","★★★★★","450~900 /kW","20~26","ASME/PED","Local Korea subsidiary"
"Global #2","Heatric (Parker)","UK","Gas Cooler Dedicated","★★★★☆","500~950 /kW","18~24","ASME/PED","Up to 1,000+ bar"
"Global #3","KOBE Steel","Japan","Intermediate HX (IHX)","★★★☆☆","380~700 /kW","16~22","JIS/ASME","Japan sourcing restriction"
"Global #4","Vacuum Process Eng.","USA","Custom Small PCHE","★★★☆☆","600~1,200 /kW","12~18","ASME","Small batch orders"
"Global #5","Sumitomo SPP DuraBlex","Japan","H₂/LNG Microchannel","★★☆☆☆","400~800 /kW","18~24","JIS/ASME","H₂ station focused"
"Korea #1","DongHwa Entec","Korea (Busan)","Gas Cooler & Evaporator","★★★★★","300~650 /kW","14~20","KS/ASME/CE","First domestic PCHE manufacturer"
"Korea R&D","KIMM (Korea Inst. of Machinery)","Korea (Daejeon)","Core IP & Patents","★★★★☆","Consortium-based","Project-based","KR Patent KR0991113+","Diffusion bonding IP holder"
"Taiwan Partner","AISI/Tatung HX","Taiwan","Auxiliary Heat Exchanger","★★★☆☆","280~520 /kW","10~16","ASME","B★ Korea-Taiwan split"
"Market Size","Global PCHE Market","Global","Market Data","-","$551.62M (2025)","-","-","CAGR 5.1% → $907M (2035)"
"B★ Demand","eCO₂ 1MW System","B★ Baseline","PCHE Requirement (kW)","10 units/system","$4.5M~9M /unit","-","-","CAPEX $18M: 25~50% PCHE"
